State Fiscal Year End Date,Operator Name,Total Inspections,Failed Inspections,Operator ID,City,Region,Day,Month,Year
7/6/1905,ROY_K._DAVIS_BUS,157,0,5001,Huntington Station,10,6,7,1905
7/6/1905,R_&_R_TRANSPORTATION,4,0,5003,Woodside,11,6,7,1905
7/6/1905,RS_BUS_COMPANY,1,0,5004,Richmond Hill,8,6,7,1905
7/6/1905,RYE_YMCA,3,0,5010,Rye,8,6,7,1905
7/6/1905,SACHEM_CENTRAL_SCHOOL_DIST.,84,0,5012,Lake Ronkonkoma,10,6,7,1905
7/6/1905,SACKETS_HARBOR_CENTRAL_SCHOOL,26,0,5013,Sackets Harbor,3,6,7,1905
7/6/1905,"SAFE_EXPESS_TRANSPORTATION,_INC",1,0,5018,Brooklyn,11,6,7,1905
7/6/1905,SAG_HARBOR_U.F.S.D.,25,0,5019,Sag Harbor,10,6,7,1905
7/6/1905,SAINT_ANTHONY_OF_PADUA_CHURCH,2,0,5020,Endicott,2,6,7,1905
7/6/1905,SAINT_IGNATIUS_SCHOOL,1,0,5021,Bronx,8,6,7,1905
7/6/1905,SALESIAN_HIGH_SCHOOL,5,0,5024,New Rochelle,8,6,7,1905
7/6/1905,SALS_LIMOUSINE_INC.,2,0,5027,Commack,10,6,7,1905
7/6/1905,SALVATION_DELIVERANCE_CHURCH,1,0,5029,New York,11,6,7,1905
7/6/1905,SAMARITAN_HOSPITAL,4,0,5030,Troy,1,6,7,1905
7/6/1905,SAMARITIAN_KEEP_HOME,21,0,5031,Watertown,3,6,7,1905
7/6/1905,SAMERIC_TOURS,2,0,5032,Lansdowne,11,6,7,1905
7/6/1905,"S_AND_T_VAN_EXPRESS,_INC",5,0,5035,Monesy,11,6,7,1905
7/6/1905,S_AND_W_TOURS_&_CHARTERS_LLC,6,0,5036,Brier Hill,3,6,7,1905
7/6/1905,SANDY_CREEK_CENTRAL_SCHOOL,54,0,5037,Sandy Creek,3,6,7,1905
7/6/1905,SANTO_DOMINGO_BUS_SERVICE_INC,4,0,5038,Jackson Heights,11,6,7,1905
7/6/1905,SARATOGA_ACADEMY,1,0,5041,Clifton Park,1,6,7,1905
7/6/1905,SARATOGA/WARREN_CO._BOCES,9,0,5045,Saratoga Springs,1,6,7,1905
7/6/1905,SAUGERTIES_CENTRAL_SCHOOL,2,0,5047,Saugerties,1,6,7,1905
7/6/1905,SCARLET_TOURS_INC.,1,0,5051,Roosevele,10,6,7,1905
7/6/1905,SCARSDALE_VETERERANS/CAMELOT_LIMO,2,0,5053,Scarsdale,8,6,7,1905
7/6/1905,SCH_DST.OF_CITY_OF_NIA._FALLS,3,0,5055,Niagara Falls,5,6,7,1905
7/6/1905,SCHENECTADY_DAY_NURSERY,3,0,5058,Schenectady,1,6,7,1905
7/6/1905,SCHENEVUS_CENTRAL_SCHOOL,24,0,5059,Schenevus,2,6,7,1905
7/6/1905,SCHOHARIE_CO._HEADSTART,10,0,5062,Cobleskill,1,6,7,1905
7/6/1905,SCHOHARIE_COUNTY,14,0,5064,Schoharie,1,6,7,1905
