City,Operator Name
Huntington Station,ROY_K._DAVIS_BUS
Woodside,R_&_R_TRANSPORTATION
Richmond Hill,RS_BUS_COMPANY
Rye,RYE_YMCA
Lake Ronkonkoma,SACHEM_CENTRAL_SCHOOL_DIST.
Sackets Harbor,SACKETS_HARBOR_CENTRAL_SCHOOL
Brooklyn,"SAFE_EXPESS_TRANSPORTATION,_INC"
Sag Harbor,SAG_HARBOR_U.F.S.D.
Endicott,SAINT_ANTHONY_OF_PADUA_CHURCH
Bronx,SAINT_IGNATIUS_SCHOOL
New Rochelle,SALESIAN_HIGH_SCHOOL
Commack,SALS_LIMOUSINE_INC.
New York,SALVATION_DELIVERANCE_CHURCH
Troy,SAMARITAN_HOSPITAL
Watertown,SAMARITIAN_KEEP_HOME
Lansdowne,SAMERIC_TOURS
Monesy,"S_AND_T_VAN_EXPRESS,_INC"
Brier Hill,S_AND_W_TOURS_&_CHARTERS_LLC
Sandy Creek,SANDY_CREEK_CENTRAL_SCHOOL
Jackson Heights,SANTO_DOMINGO_BUS_SERVICE_INC
Clifton Park,SARATOGA_ACADEMY
Saratoga Springs,SARATOGA/WARREN_CO._BOCES
Saugerties,SAUGERTIES_CENTRAL_SCHOOL
Roosevele,SCARLET_TOURS_INC.
Scarsdale,SCARSDALE_VETERERANS/CAMELOT_LIMO
Niagara Falls,SCH_DST.OF_CITY_OF_NIA._FALLS
Schenectady,SCHENECTADY_DAY_NURSERY
Schenevus,SCHENEVUS_CENTRAL_SCHOOL
Cobleskill,SCHOHARIE_CO._HEADSTART
Schoharie,SCHOHARIE_COUNTY
Mt Vernon,SCOTTYS_BUS_&_VAN_SERVICE
Waterloo,SENECA_&_CAYUGA_CO_CHAPTER_NYS_ARC
Seneca Falls,SENECA_FALLS_C._SCHOOL
Waterloo,SENECA_NURSING_HOME
Albany,SENIOR_SVC_CTR_ALBANY_AREA
Bell Harbor,SETH_TRANSPORTATION_INC.
Plattsburgh,SETON_CATHOLIC_CENTRAL_SCHOOL
Sharon Springs,SHARON_SPRINGS_CENTRAL_SCHOOL
Roslyn,SHIBLEY_SUMMER_DAY_CAMP
Richmond Hills,SHOLOM_SHOLOM_INC
Rochester,SHUFFLES_LIMOUSINE_SERVICE_INC
Silver Creek,SILVER_CREEK_CENTRAL_SCHOOL
Staten Island,SILVER_EXPRESS
Brooklyn,SIMCHA_BUS_CORP.
Brooklyn,S_&_L_TRANSPORTATION_INC.
Queens Village,SMARTY_PANTS_TRANSPORTATION
West Seneca,SNYDER_TRANSPORTATION
Brooklyn,SOE_TOUR_INC
Hartsdale,SOLOMON_SCHECHTER_SCH_OF_WESTCHESTR
Port Chester,SOUND_SHORE_AMBULETTE_CORP.
Bronx,SOUTH_BRONX_HEAD_START
Albany,SOUTH_COLONIE_CENTRAL_SCHOOL
Mamaroneck,SOUTH_EAST_CORSORTIUM
Poplar Ridge,SOUTHERN_CAYUGA_CEN._SCH.
Adams,SOUTH_JEFFERSON_CENTRAL_SCHOOL
South Kortright,SOUTH_KORTRIGHT_CENTRAL_SCHOOL
Ovid,SOUTH_SENECA_CENTRAL_SCHOOL
N Belmore,SOUTH_SHORE_COUNTRY_DAY_SCHOOL
Maspeth,SPARK_TRANSPORTATION
Brentwood,SPICE_AMERICAN_BUS_SERVICE_AND_TOUR
Astoria,SPIEGEL_LIMOUSINE_CORP
Brooklyn,SPINKA_TRANSPORTATION
Stamford,STAMFORD_CENTRAL_SCHOOL
South Huntington,ST._ANTHONYS_HS
Bronx,STARLIGHT_AMBULETTE_INC
Woodside,STAR_LITE_1_TRANSPORTATION_CORP
Brooklyn,STARRETT_AMBULETTE_INC
Brooklyn,STARRZ_LUXURY_TRAVEL
Elmont,STAR_TAG_INC
Lindenhurst,STAR_TOUCH_LUXURY
Ontario,STAR_TRAVEL_AND_TOURS
Staten Island,STATEN_ISLAND_ACADEMY
Buffalo,STATUS_LIMOUSINE_CORP.
Oyster Bay,ST._DOMINIC_R_C_C
Brooklyn,ST_EDMUND_PREP_HIGH_SCHOOL
Jamaica,STEPHANIES'_SCHOOL_BUS
Bronx,ST._HELENA_SCHOOL
St. Johnsville,ST._JOHNSVILLE_CENTRAL_SCHOOL
West Islip,ST._JOHN_THE_BAPTIST_DIOCESAN_H.S.
Tonawanda,ST._JOSEPH'S_COLLEGIATE_INSTIT
Canton,ST._LAWRENCE_CO._CDP
Baldwinsville,ST._MARYS_BALDWINSVILLE
Manhasset,ST._MARYS_H.S.
East Islip,ST._MARY'S_RC_CHURCH
Buffalo,ST._MARY'S_SCHOOL_FOR_THE_DEAF
Ossining,ST._MATTHEWS_DAY_CARE_CTR.
Ny,ST_PAUL_CHURCH
Whitesboro,ST._PAULS_CHURCH
Hogansburg,ST._REGIS_MOHAWK_HEADSTART
White Plains,"SUBURBAN_PARATRANSIT_SERV,_IN"
New Brunswick,SUBURBAN_TRAILS
Coram,SUFFOLK_BUS_CORP.
Woodbourne,SULLIVAN_COUNTY_HEADSTART
Hurleyville,SULLIVAN_PARAMEDICINE_INC.
East Brunswick,SUNNY_TRAIL_INC
Woodmere,SUNSHINE_LIMOUSINE_LTD
Flushing,SUPER_BUS_INC
Brooklyn,SUPERIOR_SCHOOL_BUS
Valley Stream,SUPREME_TOURS
Bronx,SWIFT_RIVER_TRANSPORT_LTD
East Syracuse,"SYRACUSE_REGIONAL_AIRPORT_TAXI,_INC"
Glen Cove,TAKAHASHI_INTERNATIONAL_INC
Brooklyn,TALMUD_TORAH_DNITRA
Brooklyn,TALMUD_TORAH_TASHBAR
Swan Lake,TALMUD_TORAH_TOLDOS_YAKOV_YOSEF
Brooklyn,TALMUD_TORAH_YESHUOS_MOSHE_WIZNITZ
Buffalo,TAPESTRY_CHARTER_SCHOOL
Ronkonkoma,TAPPED_ENTERPRISES_INCORPORATED
Nyack,TBT_LIMOUSINE_SERVICE
Schenectady,T.D.M._EXPRESS_INC.
Utica,"THEA_BOWMAN_HOUSE,INC."
Albany,THE_ALBANY_ACADEMICS
New York,THE_DWIGHT_SCHOOL
Port Washington,THE_HAPPY_MONTESORI_SCHOOL
Forest Hills,THE_KEW-FOREST_SCHOOL_INC.
St. James,THE_KNOX_SCHOOL
Buffalo,THE_NICHOLS_SCHOOL
Queens Villages,"THE_NURTURING_CENTER,_INC."
Inlet,THEODORE_PAYNE
W Hempstead,THE_ONLY_WAY_TO_RIDE_INC
Snyder,THE_PARK_SCHOOL_OF_BUFFALO
Laurelton,THERESA_WILSON
Buffalo,THE_SALVATION_ARMY_INC.
Great Neck,THE_SILVERSTIEN_HEBREW_ACADEMY
Lockport,TIMKEY_LIMOUSINE_COMPANY
Owego,TIOGA_OPPORTUNITIES_PROGRAM_INC
Pearl River,T.J._TRANS
Bayport,TLCH_LLC
Ossining,T.L.C_LIMOUSINE_CORP.
Depew,TLC_OF_WNY
Dobbs Ferry,TLC_TRANSPORTATION_LLC
Webster,TODDLERS_WORK_SHOP
Bayshore,TOMMY'S_SIGHTSEEING_TOURS
Staten Island,TOMY_TOURS_OF_NY_CORP
Mt. Tremper,TONCHE_TRANSIT_INC.
Yonkers,TOP_CLASS_LIMOUSINE_LTD.
Kings Park,TOP_OF_THE_WORLD_LIMO_LTD
Far Rockaway,TORAH_ACADEMY_FOR_GIRLS
Brooklyn,TORAH_FOR_SPECIAL_CHILDREN
New York,TOTAL_SIGHTSEEING_LLC
Bronx,TOTS_INC.
Waverly,TOT'S_LEARNING_CENTER
Wyandancha,TOUCH_OF_CLASS_&_COACH_INC.
St. James,TOWN_BUS_LLC
