customer Code	Item Code	Date	Qty	Val
811757	RR1474	8062019		403.20000
811757	rr1473	08062019	2	86.40000
814075	RN1551	01062019	50	28.80000
814075	rr1461	01062019	5	144.00000
814571	RN1586	01062019	100	28.80000
842011	RN1655	03062019	2	57.60000
816408	RR1659	03062019	3	28.80000
811213	RN1655	03062019	1	28.80000
816020	RN1654	03062019	1	576.00000
816012	RN1505	03062019	2	288.00000
817071	RN1507	03062019	5	144.00000
862056	rr1572	04062019	5	201.60000
814395	RN1654	10062019	2	86.40000
814395	RN1655	10062019	-1	144.00000
812884	RN1507	13062019	-5	57.60000
812884	RN1655	13062019	3	57.60000
812884	RR1733	13062019	5	28.80000
812884	RR1718	13062019	2	172.80000
812884	RR1736	13062019	5	144.00000
812884	RR1674	13062019	2	288.00000
812884	RR1719	13062019	2	28.80000
812884	RR1669	13062019	1	115.20000
812884	RN1476	13062019	2	57.60000
812884	rr1663	13062019	3	115.20000
812884	RN1660	13062019	5	57.60000
812884	RR1713	13062019	5	86.40000
812884	RR1659	13062019	3	57.60000
811470	RN1655	13062019	5	144.00000
811470	RN1654	13062019	2	28.80000
818048	RN1551	15062019	3	28.80000
816155	rr1577	18062019	3	28.80000
835479	RN1654	24062019	2	864.00000
814125	RN1505	25062019	1	28.80000
814125	RN1661	25062019	5	57.60000
814125	RN1660	25062019	10	57.60000
814125	RN1506	25062019	5	28.80000
811676	RN2111	27062019	2	86.40000
811676	RN2702	27062019	3	57.60000
816406	RN1457	30062019	5	-18.00000
816406	RN1455	30062019	2	153.00000
816406	RN2109	30062019	10	45.00000
814456	RN2702	01062019	3	1575.00000
814456	RN1655	01062019	2	45.00000
814456	RN1660	01062019	10	90.00000
814456	RN1654	01062019	2	9.00000
814456	RN1505	01062019	3	90.00000
814439	RN1505	01062019	2	18.00000
841462	RN1655	01062019	1	18.00000
812289	RN1476	01062019	1	18.00000
814201	RN2110	01062019	5	18.00000
814201	RN2702	01062019	10	27.00000
814201	RN1455	01062019	10	0.00000
814201	RN1457	01062019	4	90.00000
814201	RN2109	01062019	10	18.00000
814201	RR1050	01062019	10	9.00000
816296	RN1655	01062019	5	90.00000
816296	RN1654	01062019	3	45.00000
814535	RN1655	01062019	10	90.00000
814395	RN1654	01062019	1	45.00000
814395	RN1655	01062019	10	27.00000
812275	RR1690	02062019	3	45.00000
812282	RN1476	02062019	4	27.00000
814304	RN1655	02062019	4	18.00000
814304	RN1507	02062019	3	45.00000
811859	RN1660	02062019	5	9.00000
811359	rr1509	02062019	5	18.00000
814195	RN1505	02062019	14	90.00000
814501	RN1505	08062019	5	27.00000
811749	RN1654	08062019	4	18.00000
812417	RN1654	08062019	2	18.00000
814457	RN1654	08062019	5	9.00000
814457	RN2110	08062019	10	18.00000
814457	rr1572	08062019	2	18.00000
835130	RN1655	08062019	3	9.00000
835130	RN1654	08062019	3	72.00000
815076	RN1551	09062019	3	45.00000
811369	RN1660	09062019	1	18.00000
811300	RN1476	09062019	10	27.00000
811369	rr1509	09062019	3	27.00000
814395	RN1655	10062019	3	27.00000
814395	RN1654	10062019	5	18.00000
814131	rr1509	10062019	2	45.00000
814131	RN1476	10062019	10	27.00000
814203	RN1654	10062019	3	90.00000
862056	RN1655	11062019	3	9.00000
862056	RN1654	11062019	10	900.00000
862056	RN1505	11062019	10	27.00000
862056	RN1455	11062019	5	90.00000
862056	RN1476	11062019	20	-90.00000
832058	RN1476	11062019	3	18.00000
832113	RN1655	11062019	100	54.00000
815095	rr1572	11062019	10	45.00000
815095	RN1507	11062019	5	45.00000
818048	RN1551	11062019	6	54.00000
814093	rr1509	11062019	2	18.00000
811483	RN1654	12062019	8	45.00000
815048	RN1507	12062019	2	45.00000
811266	rr1509	12062019	5	18.00000
811739	RN1566	12062019	14	9.00000
811739	RN2111	12062019	2	45.00000
811676	RR1734	12062019	3	45.00000
811676	RR1736	12062019	30	45.00000
811676	RN1655	12062019	5	27.00000
811676	RR1716	12062019	3	45.00000
811676	RR1718	12062019	3	0.00000
811676	RN1660	12062019	80	45.00000
811676	RN1654	12062019	5	351.00000
811676	RN2110	12062019	2	18.00000
811676	RN2702	12062019	3	36.00000
811676	RR1719	12062019	5	54.00000
811676	RN1661	12062019	1	27.00000
811676	RR2604	12062019	5	18.00000
811676	RN2111	12062019	5	45.00000
811676	RN1455	12062019	4	45.00000
811676	RR1658	12062019	1	27.00000
811676	RR1674	12062019	2	45.00000
811676	RR1669	12062019	5	27.00000
811676	RN1476	12062019	1	54.00000
811676	RR1659	12062019	10	27.00000
811676	RR1733	12062019	1	45.00000
811676	RN1551	12062019	5	18.00000
811676	RN1556	12062019	2	9.00000
811010	RN1507	12062019	3	90.00000
844244	RN1655	12062019	5	18.00000
815500	RN1507	12062019	3	117.00000
815500	RN1556	12062019	1	18.00000
814313	rr1509	12062019	3	9.00000
862016	RN1655	12062019	50	9.00000
862016	RN1654	12062019	3	234.00000
441516	RN1655	12062019	3	135.00000
441343	RN1655	12062019	2	45.00000
817020	RN1654	13062019	2	270.00000
816155	rr1577	13062019	1	27.00000
811676	RR1713	13062019	3	27.00000
811605	RN1505	13062019	1	14400.00000
844161	RN1455	13062019	5	225.00000
817180	RN1507	15062019	1	90.00000
814117	RN1654	15062019	1	27.00000
814609	RN1655	15062019	3	18.00000
814609	RN1476	15062019	3	27.00000
811562	RN1655	15062019	1	18.00000
814442	RN1655	15062019	2	27.00000
833078	RN1455	15062019	1	27.00000
833527	RN1507	15062019	5	45.00000
816045	RN2111	16062019	3	27.00000
812735	RN1476	16062019	2	18.00000
811269	RN1654	16062019	2	72.00000
811269	rr1572	16062019	1	450.00000
814430	RN1655	16062019	2	45.00000
814430	RN1654	16062019	5	180.00000
841462	RN1654	16062019	1	45.00000
811509	RN1505	16062019	2	9.00000
827091	RN1455	16062019	2	45.00000
816336	RN1655	18062019	1	45.00000
811397	RR1667	18062019	5	27.00000
811563	RN1507	18062019	2	18.00000
811563	RN1711	18062019	5	18.00000
811563	RN1505	18062019	50	27.00000
844232	RN2110	18062019	1	54.00000
844232	rr1572	18062019	2	360.00000
844232	RN1476	18062019	3	90.00000
814754	RN1507	18062019	2	90.00000
814754	RN1654	18062019	2	9.00000
814754	RN1505	18062019	5	45.00000
811359	RN1507	18062019	4	27.00000
814755	RN1505	18062019	3	45.00000
812217	RN1505	19062019	5	90.00000
816225	RN1476	19062019	2	27.00000
841462	RN1654	19062019	2	27.00000
818225	RN1505	19062019	5	45.00000
814125	RN1506	20062019	10	450.00000
814125	RN1661	20062019	1	54.00000
814125	RN1660	20062019	3	45.00000
814125	RN1505	20062019	15	18.00000
811559	RN2109	20062019	2	27.00000
811559	RN1455	20062019	3	18.00000
815404	RN1476	20062019	2	27.00000
843030	RN1505	20062019	5	27.00000
843030	RN1655	20062019	1	9.00000
811730	RN1654	20062019	3	18.00000
835479	RN1654	22062019	3	27.00000
814004	RN1507	24062019	3	27.00000
811429	RN1476	26062019	3	9.00000
816406	RN2109	26062019	2	18.00000
816406	RN1455	26062019	5	18.00000
816406	RN1457	26062019	1	27.00000
818145	RN1711	01072019	1	18.00000
816261	RN1476	01072019	2	45.00000
814247	RN1507	01072019	3	27.00000
812733	RN1476	01072019	2	45.00000
816196	RN1476	01072019	3	9.00000
812734	RN1505	01072019	2	45.00000
814925	RN2702	01072019	1	9.00000
814925	RN1655	01072019	2	18.00000
814925	RN1654	01072019	5	9.00000
815908	RN1476	01072019	2	27.00000
816242	RN1655	01072019	3	27.00000
816069	rr1572	01072019	2	900.00000
816069	RN1655	01072019	3	9.00000
816069	RR1050	01072019	20	27.00000
816069	RN1586	01072019	2	18.00000
816408	RN1507	01072019	2	27.00000
816074	RN1655	01072019	5	27.00000
816178	RR2119	01072019	2	18.00000
816178	RN1476	01072019	3	9.00000
811055	RN1505	01072019	2	27.00000
814173	RR1715	01072019	3	18.00000
814173	RR1051	01072019	2	18.00000
814173	RN1661	01072019	3	9.00000
814173	RN1655	01072019	2	18.00000
814173	RN1575	01072019	2	27.00000
814274	RN2702	01072019	1	18.00000
814274	RN2111	01072019	2	45.00000
814274	RN2110	01072019	5	27.00000
814274	RN1654	01072019	0	27.00000
814918	RN1654	01072019	1	18.00000
814082	RN1586	01072019	1	27.00000
814082	RR2601	01072019	2	90.00000
814082	RR1736	01072019	3	450.00000
811559	RN1455	01072019	5	18.00000
816314	RN1476	01072019	3	18.00000
816728	RN1505	01072019	2	27.00000
816728	RN1655	01072019	1	9.00000
816728	RN1476	01072019	3	18.00000
811859	RN1655	01072019	3	27.00000
811859	RN1654	01072019	3	180.00000
811429	RN1476	01072019	1	45.00000
815259	RN1505	01072019	2	180.00000
815714	RN1655	01072019	3	18.00000
651322	RN1661	02062019	3	9.00000
815155	RN1551	09062019	3	45.00000
815155	RR1667	09062019	3	45.00000
815155	RR1672	09062019	2	18.00000
815155	RN1586	09062019	6	27.00000
815155	RR1658	03062019	10	18.00000
261720	R1459	16062019	6	45.00000
642482	RN1506	01062019	3	18.00000
263152	RN1655	01062019	5	9.00000
251109	rr1663	09062019	2	18.00000
262908	RN1476	02062019	3	27.00000
262908	RN2109	02062019	40	18.00000
262870	RN4649	13062019	1	45.00000
262870	RN4647	13062019	10	27.00000
262870	R2109	13062019	2	18.00000
262870	RR1474	13062019	10	18.00000
262870	RN1586	13062019	2	45.00000
262870	RR1667	13062019	2	45.00000
262870	RN4648	13062019	2	18.00000
262870	R1527	13062019	4	54.00000
262870	rr1597	13062019	2	45.00000
255068	R2702	13062019	2	18.00000
262325	RR1713	13062019	5	18.00000
262908	RN1566	09062019	5	9.00000
262908	RR1475	09062019	2	9.00000
262908	rr1565	09062019	3	9.00000
262908	rr1476	09062019	2	90.00000
642482	RN1611	26062019	1	18.00000
642482	rr1461	26062019	2	27.00000
642482	R2110	26062019	2	9.00000
642482	rr1458	26062019	1	18.00000
261619	rr1565	17062019	2	45.00000
631001	rr1460	12062019	3	18.00000
262526	RR1716	11062019	2	45.00000
263626	RR1716	11062019	2	18.00000
241029	rr1458	15062019	1	180.00000
